Year,Species,Easting,Northing,Age,Sex,Tnights
1,A24,1743262.469,5421883.351,NA,NA,60
1,DOC200,1745450.433,5421084.263,NA,NA,60
1,DOC200,1745323.213,5421105.023,NA,NA,60
1,DOC200,1745022.709,5421073.837,NA,NA,60
1,DOC200,1744787.931,5420834.179,NA,NA,60
1,DOC200,1744628.632,5420660.422,NA,NA,60
1,DOC200,1744470.441,5420260.518,NA,NA,60
1,DOC200,1746281.671,5421232.262,NA,NA,60
1,DOC200,1744331.463,5420110.34,NA,NA,60
1,DOC200,1744140.783,5420128.907,NA,NA,60
1,DOC200,1743938.809,5420097.05,NA,NA,60
1,DOC200,1743835.614,5419952.929,NA,NA,60
1,DOC200,1743669.815,5419727.753,NA,NA,60
1,DOC200,1743573.218,5419640.37,NA,NA,60
1,DOC200,1743507.338,5419665.665,NA,NA,60
1,DOC200,1743370.787,5419966.688,NA,NA,60
1,DOC200,1746181.85,5421258.703,NA,NA,60
1,DOC200,1741436.71,5421491.394,NA,NA,60
1,DOC200,1741002.789,5421399.105,NA,NA,60
1,DOC200,1740846.816,5421413.902,NA,NA,60
1,DOC200,1745974.472,5421280.763,NA,NA,60
1,DOC200,1745875.098,5421287.873,NA,NA,60
1,DOC200,1745693.033,5421228.441,NA,NA,60
1,DOC200,1745650.16,5421114.906,NA,NA,60
1,DOC200,1744107.765,5420151.776,NA,NA,60
1,DOC200,1746715.776,5421896.252,NA,NA,60
1,DOC200,1746118.021,5422440.642,NA,NA,60
1,A24,1746169.485,5422352.42,NA,NA,60
1,A24,1746364.065,5422171.671,NA,NA,60
1,A24,1746611.958,5422024.062,NA,NA,60
1,DOC200,1745636.664,5422556.614,NA,NA,60
1,DOC200,1745251.111,5421755.101,NA,NA,60
1,A24,1745325.943,5421809.469,NA,NA,60
1,A24,1745366.192,5421892.411,NA,NA,60
1,DOC200,1745386.796,5421951.532,NA,NA,60
1,A24,1745525.427,5422194.321,NA,NA,60
1,DOC200,1745638.475,5422271.463,NA,NA,60
1,A24,1745660.354,5422410.639,NA,NA,60
1,DOC200,1745368.726,5421826.718,NA,NA,60
1,DOC200,1745539.481,5421839.178,NA,NA,60
1,DOC200,1745617.628,5421674.897,NA,NA,60
1,DOC200,1745651.535,5421562.707,NA,NA,60
1,DOC200,1745837.444,5421592.29,NA,NA,60
1,DOC200,1744459.664,5422303.919,NA,NA,60
1,A24,1744422.316,5422097.181,NA,NA,60
1,DOC200,1744351.166,5422029.847,NA,NA,60
1,A24,1744233.312,5421861.594,NA,NA,60
1,DOC200,1744194.587,5421745.195,NA,NA,60
1,A24,1744179.162,5421520.808,NA,NA,60
1,DOC200,1744150.922,5421498.049,NA,NA,60
1,DOC200,1744180.522,5422968.73,NA,NA,60
1,A24,1744249.58,5421374.803,NA,NA,60
1,DOC200,1744365.946,5421426.577,NA,NA,60
1,A24,1744394.266,5421381.812,NA,NA,60
1,DOC200,1744365.361,5421216.343,NA,NA,60
1,A24,1744298.85,5422960.188,NA,NA,60
1,DOC200,1744348.946,5422974.514,NA,NA,60
1,A24,1744386.529,5422755.414,NA,NA,60
1,DOC200,1744434.993,5422662.592,NA,NA,60
1,A24,1744450.598,5422424.601,NA,NA,60
1,A24,1744379.145,5423137.519,NA,NA,60
1,A24,1744958.75,5422845.182,NA,NA,60
1,A24,1744971.225,5422715.325,NA,NA,60
1,A24,1745022.545,5422522.813,NA,NA,60
1,A24,1745090.465,5422428.052,NA,NA,60
1,A24,1745174.319,5422226.007,NA,NA,60
1,DOC200,1745159.592,5422134.23,NA,NA,60
1,DOC200,1745208.346,5422060.723,NA,NA,60
1,A24,1744428.742,5423244.484,NA,NA,60
1,A24,1745185.855,5421949.114,NA,NA,60
1,DOC200,1745138.768,5421800.444,NA,NA,60
1,A24,1745054.567,5421528.576,NA,NA,60
1,DOC200,1744987.334,5421397.631,NA,NA,60
1,A24,1744767.952,5421296.61,NA,NA,60
1,DOC200,1744679.541,5421257.505,NA,NA,60
1,DOC200,1744566.885,5421118.917,NA,NA,60
1,A24,1744355.207,5421055.165,NA,NA,60
1,A24,1744605.788,5423277.052,NA,NA,60
1,A24,1744682.117,5423275.867,NA,NA,60
1,A24,1744766.71,5423256.632,NA,NA,60
1,A24,1744814.88,5423182.702,NA,NA,60
1,A24,1744888.235,5423057.73,NA,NA,60
1,A24,1744973.034,5423011.276,NA,NA,60
1,A24,1745737.56,5422682.754,NA,NA,60
1,DOC200,1745924.654,5422649.119,NA,NA,60
1,A24,1745987.885,5422583.872,NA,NA,60
1,DOC200,1744946.837,5423061.894,NA,NA,60
1,A24,1745064.813,5423050.208,NA,NA,60
1,DOC200,1745286.528,5423080.982,NA,NA,60
1,A24,1745354.326,5423000.876,NA,NA,60
1,DOC200,1745513.696,5422886.721,NA,NA,60
1,A24,1745627.982,5422874.877,NA,NA,60
1,DOC200,1743868.091,5421020.632,NA,NA,60
1,A24,1743999.612,5420900.295,NA,NA,60
1,DOC200,1744171.816,5420999.613,NA,NA,60
1,A24,1743513.01,5421009.457,NA,NA,60
1,DOC200,1743558.853,5421092.959,NA,NA,60
1,A24,1743555.688,5421178.315,NA,NA,60
1,DOC200,1743623.657,5421182.974,NA,NA,60
1,A24,1743682.332,5421124.056,NA,NA,60
1,DOC200,1743767.991,5421088.035,NA,NA,60
1,A24,1743857.531,5421138.02,NA,NA,60
1,A24,1743918.927,5421119.366,NA,NA,60
1,VICTOR,1743918.265,5426326.775,NA,NA,60
1,DOC200,1744127.763,5426516.772,NA,NA,60
1,VICTOR,1743900.416,5426896.962,NA,NA,60
1,DOC200,1742926.711,5426273.955,NA,NA,60
1,VICTOR,1743871.463,5426331.115,NA,NA,60
1,DOC200,1744203.803,5426450.495,NA,NA,60
1,VICTOR,1743891.898,5426807.158,NA,NA,60
1,DOC200,1742827.229,5426412.874,NA,NA,60
1,VICTOR,1743840.347,5426313.742,NA,NA,60
1,VICTOR,1744198.623,5426448.897,NA,NA,60
1,VICTOR,1743882.517,5426719.163,NA,NA,60
1,VICTOR,1743799.706,5426305.038,NA,NA,60
1,DOC200,1744189.483,5426429.831,NA,NA,60
1,DOC200,1742578.911,5426340.231,NA,NA,60
1,VICTOR,1743854.602,5426648.187,NA,NA,60
1,DOC200,1743540.464,5427797.508,NA,NA,60
1,VICTOR,1743788.67,5426316.185,NA,NA,60
1,DOC200,1744152.485,5426377.659,NA,NA,60
1,DOC200,1742568.536,5426383.714,NA,NA,60
1,VICTOR,1743812.222,5426595.492,NA,NA,60
1,VICTOR,1743457.686,5427835.509,NA,NA,60
1,VICTOR,1743778.37,5426334.928,NA,NA,60
1,DOC200,1744109.364,5426285.966,NA,NA,60
1,VICTOR,1743383.703,5427935.012,NA,NA,60
1,VICTOR,1743780.86,5426369.695,NA,NA,60
1,DOC200,1744070.239,5426273.524,NA,NA,60
1,DOC200,1742685.755,5426215.493,NA,NA,60
1,DOC200,1743298.657,5427849.614,NA,NA,60
1,VICTOR,1743790.895,5426414.62,NA,NA,60
1,VICTOR,1744063.507,5426273.882,NA,NA,60
1,DOC200,1742612.41,5426209.772,NA,NA,60
1,VICTOR,1743155.534,5427849.972,NA,NA,60
1,VICTOR,1743813.81,5426478.487,NA,NA,60
1,DOC200,1744026.516,5426282.641,NA,NA,60
1,DOC200,1743035.859,5427865.758,NA,NA,60
1,VICTOR,1743828.337,5426505.076,NA,NA,60
1,DOC200,1743939.092,5426274.915,NA,NA,60
1,DOC200,1742707.614,5426013.344,NA,NA,60
1,VICTOR,1743824.798,5426367.248,NA,NA,60
1,VICTOR,1743844.302,5426247.31,NA,NA,60
1,VICTOR,1743876.869,5426357.455,NA,NA,60
1,DOC200,1743807.374,5426238.002,NA,NA,60
1,DOC200,1742756.666,5425942.96,NA,NA,60
1,VICTOR,1743930.853,5426381.353,NA,NA,60
1,DOC200,1743625.005,5426262.87,NA,NA,60
1,DOC200,1742905.238,5426166.857,NA,NA,60
1,VICTOR,1743978.595,5426389.459,NA,NA,60
1,DOC200,1743474.421,5426218.435,NA,NA,60
1,VICTOR,1743741.796,5426372.212,NA,NA,60
1,VICTOR,1743427.6,5426209.837,NA,NA,60
1,VICTOR,1743690.695,5426358.264,NA,NA,60
1,DOC200,1743396.003,5426228.934,NA,NA,60
1,VICTOR,1743643.077,5426355.561,NA,NA,60
1,DOC200,1743260.508,5426073.592,NA,NA,60
1,DOC200,1743166.931,5425958.641,NA,NA,60
1,DOC200,1743148.053,5425927.546,NA,NA,60
1,DOC200,1743098.977,5425856.125,NA,NA,60
1,VICTOR,1743011.294,5425898.566,NA,NA,60
1,DOC200,1743038.051,5425887.759,NA,NA,60
1,DOC200,1743012.949,5425891.373,NA,NA,60
1,DOC200,1743023.831,5425787.294,NA,NA,60
1,DOC200,1742995.934,5425705.269,NA,NA,60
1,DOC200,1742990.791,5425679.578,NA,NA,60
1,VICTOR,1742942.75,5425650.87,NA,NA,60
1,DOC200,1742918.376,5425633.621,NA,NA,60
1,DOC200,1745976.472,5426959.405,NA,NA,60
1,DOC200,1743519.866,5427171.818,NA,NA,60
1,DOC200,1743473.577,5427194.219,NA,NA,60
